"58dfc3c","Ruben Garcia Mateos","Fri, 27 Apr 2018 00:11:21 +0200","arrelglos asignacion",	 3 files changed, 87 insertions(+), 89 deletions(-)	
"30b9c94","Ruben Garcia Mateos","Thu, 26 Apr 2018 23:21:06 +0200","Comienzo Refactorizacion asignacion",	 2 files changed, 252 insertions(+), 301 deletions(-)	
"ec40edd","MeSeventy","Wed, 25 Apr 2018 18:16:53 +0200","GUIs reworked",	 6 files changed, 33 insertions(+), 38 deletions(-)	
"a9aaf1b","albertopastormr","Wed, 25 Apr 2018 17:24:45 +0200","corregidos errores en sentencias update en integracion",	 8 files changed, 217 insertions(+), 646 deletions(-)	
"917a70f","albertopastormr","Wed, 25 Apr 2018 09:52:24 +0200","refactor y corregidos tests negocio",	 6 files changed, 181 insertions(+), 718 deletions(-)	
"9da49c7","Pablo Lopez Veleiro","Wed, 25 Apr 2018 09:38:14 +0200","Fix id asignation",	 5 files changed, 292 insertions(+), 472 deletions(-)	
"3631a96","ivanfermena","Tue, 24 Apr 2018 16:51:53 +0200","Terminada slas pruebas que faltaban en presentacion.",	 9 files changed, 48 insertions(+), 87 deletions(-)	
"3e21357","MeSeventy","Mon, 23 Apr 2018 19:28:06 +0200","Lists, ViewStand, ViewParticipation & ViewAssignation",	 6 files changed, 530 insertions(+), 16 deletions(-)	
"0fd4ab0","ivanfermena","Mon, 23 Apr 2018 18:46:25 +0200","Mas pruebas. Falta pruebas de desgaste, probar stand que esta mal visualmente y individual assig y parti",	 5 files changed, 44 insertions(+), 27 deletions(-)	
"707bf65","MeSeventy","Mon, 23 Apr 2018 14:49:01 +0200","GUI List",	 6 files changed, 789 insertions(+), 94 deletions(-)	
"be826bb","MeSeventy","Mon, 23 Apr 2018 14:03:24 +0200","GUIListAssignation",	 5 files changed, 7 insertions(+), 5 deletions(-)	
"f3b58b5","MeSeventy","Sun, 22 Apr 2018 22:01:21 +0200","Lista de assignation",	 1 file changed, 183 insertions(+), 41 deletions(-)	
"e707de0","ivanfermena","Sun, 22 Apr 2018 20:04:31 +0200","Pruebas y correcto funcionamiento de assignacion y stand.",	 7 files changed, 33 insertions(+), 54 deletions(-)	
"211e71d","ivanfermena","Sun, 22 Apr 2018 19:10:11 +0200","Comporbacion de Modify y bugs en presenetacion. Completado form stand",	 14 files changed, 166 insertions(+), 97 deletions(-)	
"92e5b57","albertopastormr","Sun, 22 Apr 2018 14:31:12 +0200","corregidos y refactorizados todos los test de Negocio",	 16 files changed, 728 insertions(+), 693 deletions(-)	
"578e1e3","ivanfermena","Sun, 22 Apr 2018 13:59:48 +0200","Pequenio cambio en assignacion y participacion.",	 5 files changed, 25 insertions(+), 46 deletions(-)	
"3831149","ivanfermena","Sun, 22 Apr 2018 13:17:43 +0200","Create practicamente probado de todos los modulos",	 17 files changed, 133 insertions(+), 126 deletions(-)	
"2ad3a89","Pablo Lopez Veleiro","Sun, 22 Apr 2018 12:27:14 +0200","Terminados Test ASStandImp",	 2 files changed, 621 insertions(+), 33 deletions(-)	
"739af5a","ivanfermena","Sun, 22 Apr 2018 10:19:34 +0200","Creadas las conexiones en view que faltaban. Procedimientos de pruebas.",	 5 files changed, 199 insertions(+), 188 deletions(-)	
"aeeb797","MarcoAdinolfi","Sun, 22 Apr 2018 00:45:52 +0200","Terminados los help de los form",	 7 files changed, 114 insertions(+), 134 deletions(-)	
"2a2ea95","MarcoAdinolfi","Sun, 22 Apr 2018 00:06:52 +0200","Help individual show",	 7 files changed, 761 insertions(+), 273 deletions(-)	
"c82a17e","ivanfermena","Sat, 21 Apr 2018 23:24:56 +0200","Restructuracion de presentacion, controller cambiado y ordenado a falta de show y su factoria. Faltan tests.",	 20 files changed, 678 insertions(+), 353 deletions(-)	
"afc8a87","ivanfermena","Sat, 21 Apr 2018 20:43:55 +0200","Version estable para avanzar en presentacion. Comienzo de pruebas",	 8 files changed, 151 insertions(+), 567 deletions(-)	
"6d85329","ivanfermena","Sat, 21 Apr 2018 19:53:14 +0200","Correcion de problemas comnentados con Antonio",	 35 files changed, 284 insertions(+), 292 deletions(-)	
"707c3e8","MarcoAdinolfi","Sat, 21 Apr 2018 18:47:43 +0200","Factoria Update y adelantado con Help",	 11 files changed, 299 insertions(+), 163 deletions(-)	
"593f605","Ruben Garcia Mateos","Sat, 21 Apr 2018 17:45:31 +0200","Añadidos drop y list en Stand",	 2 files changed, 161 insertions(+), 54 deletions(-)	
"dcc9525","Ruben Garcia Mateos","Sat, 21 Apr 2018 17:23:37 +0200","Añadido test Stand con create",	 3 files changed, 287 insertions(+), 116 deletions(-)	
"a8e79e3","Ruben Garcia Mateos","Sat, 21 Apr 2018 01:21:14 +0200","Cambios en Negocio y test Negocio",	 5 files changed, 474 insertions(+), 1032 deletions(-)	
"40df1a6","Ruben Garcia Mateos","Sat, 21 Apr 2018 00:14:03 +0200","ca",	 2 files changed, 8 insertions(+), 8 deletions(-)	
"32a4152","MarcoAdinolfi","Fri, 20 Apr 2018 18:40:56 +0200","Siguiendo con Help",	 16 files changed, 92 insertions(+), 231 deletions(-)	
"754da6e","albertopastormr","Fri, 20 Apr 2018 17:37:27 +0200","finalizados tests Integracion",	 7 files changed, 199 insertions(+), 547 deletions(-)	
"5b1f517","albertopastormr","Fri, 20 Apr 2018 17:13:20 +0200","corregidos tests y errores paquetes view",	 32 files changed, 1536 insertions(+), 472 deletions(-)	
"153f130","Ruben Garcia Mateos","Fri, 20 Apr 2018 17:04:36 +0200","Cambios test asignacion",	 3 files changed, 233 insertions(+), 201 deletions(-)	
"089ac94","Pablo Lopez Veleiro","Fri, 20 Apr 2018 09:28:14 +0200","ASParticipacionImpTest",	 2 files changed, 133 insertions(+), 156 deletions(-)	
"6063e74","Pablo Lopez Veleiro","Fri, 20 Apr 2018 09:13:55 +0200","ASParticipanteImpTest",	 4 files changed, 474 insertions(+), 105 deletions(-)	
"b1dfe7a","Ruben Garcia Mateos","Fri, 20 Apr 2018 02:52:16 +0200","Añadidos test Asignacion",	 3 files changed, 127 insertions(+), 89 deletions(-)	
"1751672","Pablo Lopez Veleiro","Thu, 19 Apr 2018 22:54:34 +0200","Codigo negocio completo (menos stand)",	 11 files changed, 505 insertions(+), 227 deletions(-)	
"2af9d33","Ruben Garcia Mateos","Thu, 19 Apr 2018 22:07:05 +0200","añadida clase test asignacion",	 2 files changed, 100 insertions(+), 107 deletions(-)	
"d14a173","Ruben Garcia Mateos","Thu, 19 Apr 2018 21:41:05 +0200","Asignation Completed, all functions",	 2 files changed, 44 insertions(+), 30 deletions(-)	
"267d029","Ruben Garcia Mateos","Thu, 19 Apr 2018 20:49:48 +0200","Refactorizado metodo create de Asignacion Negocio",	 2 files changed, 134 insertions(+), 270 deletions(-)	
"8696af3","MarcoAdinolfi","Thu, 19 Apr 2018 19:00:48 +0200","Update Create hechos y empezado Popup Help",	 11 files changed, 235 insertions(+), 23 deletions(-)	
"d5f6dbf","albertopastormr","Thu, 19 Apr 2018 16:34:33 +0200","agregado readByFairIdClientId y readByFairIdPavilionId",	 6 files changed, 206 insertions(+), 49 deletions(-)	
"735fdb7","ivanfermena","Thu, 19 Apr 2018 16:31:52 +0200","Correcion de error para que la ejecucion sea posible",	 3 files changed, 17 insertions(+), 19 deletions(-)	
"4cfc96c","albertopastormr","Thu, 19 Apr 2018 16:02:21 +0200","cambios menores en ASparticipacion y ASasignacion en tipado de CRUD",	 5 files changed, 107 insertions(+), 133 deletions(-)	
"5b3d2b8","albertopastormr","Thu, 19 Apr 2018 15:50:23 +0200","Corregido DAOparticipacion, DAOasignacion y ASstand",	 6 files changed, 269 insertions(+), 280 deletions(-)	
"f73b728","Ruben Garcia Mateos","Wed, 18 Apr 2018 23:12:56 +0200","cambio negocio asig.",	 2 files changed, 30 insertions(+), 50 deletions(-)	
"e81c950","Ruben Garcia Mateos","Wed, 18 Apr 2018 22:14:23 +0200","c",	 2 files changed, 6 insertions(+), 7 deletions(-)	
"2b19a24","Ruben Garcia Mateos","Wed, 18 Apr 2018 22:12:05 +0200","Cambio condicion",	 2 files changed, 5 insertions(+), 5 deletions(-)	
"ea3a290","Ruben Garcia Mateos","Wed, 18 Apr 2018 22:01:44 +0200","añadida condicion asignacion negocio",	 2 files changed, 7 insertions(+), 7 deletions(-)	
"15aef01","Ruben Garcia Mateos","Wed, 18 Apr 2018 21:41:19 +0200","c",	 1 file changed, 15 insertions(+), 5 deletions(-)	
"6afe0b3","Ruben Garcia Mateos","Wed, 18 Apr 2018 21:37:48 +0200","cambio negocio asignacion create",	 2 files changed, 21 insertions(+), 11 deletions(-)	
"4b135a0","Ruben Garcia Mateos","Wed, 18 Apr 2018 21:15:34 +0200","cambio",	 2 files changed, 5 insertions(+), 5 deletions(-)	
"d0ef77b","Ruben Garcia Mateos","Wed, 18 Apr 2018 21:12:17 +0200","Cambios en negocio Asignacion",	 3 files changed, 241 insertions(+), 250 deletions(-)	
"f29e12e","ivanfermena","Wed, 18 Apr 2018 20:00:14 +0200","Cambio para tener un ejemplo",	 2 files changed, 4 insertions(+), 4 deletions(-)	
"417a0ca","ivanfermena","Wed, 18 Apr 2018 19:45:49 +0200","Correccion de errores derivados de negocio e integracion",	 14 files changed, 80 insertions(+), 50 deletions(-)	
"5e3cfc9","albertopastormr","Wed, 18 Apr 2018 18:47:59 +0200","Corregidos tests en DAOs y ASstandImp",	 13 files changed, 241 insertions(+), 296 deletions(-)	
"f51fac9","ivanfermena","Wed, 18 Apr 2018 18:13:43 +0200","Correcion en presentacion",	 25 files changed, 98 insertions(+), 44 deletions(-)	
"263e0d4","albertopastormr","Wed, 18 Apr 2018 18:13:26 +0200","corregido DAOStandImp por cambios en Tstand",	 3 files changed, 46 insertions(+), 30 deletions(-)	
"28efdc2","albertopastormr","Wed, 18 Apr 2018 18:06:59 +0200","corregido DAOpabellon por cambios en Tpabellon",	 2 files changed, 32 insertions(+), 26 deletions(-)	
"ab0a587","albertopastormr","Wed, 18 Apr 2018 18:01:33 +0200","corregido DAOasignacion por cambios en Tasignacion",	 5 files changed, 105 insertions(+), 176 deletions(-)	
"deb99ae","gprossignoli","Wed, 18 Apr 2018 17:53:22 +0200","ASpabellon arreglado",	 1 file changed, 9 insertions(+), 4 deletions(-)	
"40ce323","albertopastormr","Wed, 18 Apr 2018 17:35:06 +0200","corregidos errores en Tasignacion y DAOParticipacionImp",	 7 files changed, 225 insertions(+), 180 deletions(-)	
"215f8f9","albertopastormr","Wed, 18 Apr 2018 17:06:57 +0200","agregados cambios en los transfer por cambios en db",	 12 files changed, 414 insertions(+), 192 deletions(-)	
"ec96a6a","ivanfermena","Wed, 18 Apr 2018 16:32:13 +0200","Nueva configuracion sin GUIimp y con UI implementada en todas las vistas",	 25 files changed, 206 insertions(+), 104 deletions(-)	
"929bbd0","MeSeventy","Wed, 18 Apr 2018 16:00:26 +0200","Reestructuracion de Presentacion",	 36 files changed, 110 insertions(+), 142 deletions(-)	
"e3c620c","albertopastormr","Wed, 18 Apr 2018 15:56:17 +0200","database dump implementado",	 2 files changed, 317 insertions(+), 230 deletions(-)	
"6f12e45","MeSeventy","Wed, 18 Apr 2018 15:51:02 +0200","ListPavilion",	 1 file changed, 188 insertions(+), 21 deletions(-)	
"da0548f","gprossignoli","Wed, 18 Apr 2018 12:57:37 +0200","Test de feria readByDates, Test de Stand: readByAssignation y readByParticipation",	 2 files changed, 174 insertions(+), 95 deletions(-)	
"71089df","Ruben Garcia Mateos","Wed, 18 Apr 2018 12:01:26 +0200","ee",	 1 file changed, 6 insertions(+), 29 deletions(-)	
"10336dc","Ruben Garcia Mateos","Wed, 18 Apr 2018 11:27:14 +0200","ejemplo",	 1 file changed, 231 insertions(+), 223 deletions(-)	
"208ef92","albertopastormr","Wed, 18 Apr 2018 10:49:58 +0200","actualizado dudas-lab-semanal.txt",	 2 files changed, 58 insertions(+), 83 deletions(-)	
"ba0ba31","ivanfermena","Wed, 18 Apr 2018 10:49:46 +0200","Pruebas en asignacion de presentacion",	 4 files changed, 32 insertions(+), 6 deletions(-)	
"83450fb","albertopastormr","Wed, 18 Apr 2018 09:47:26 +0200","test feria y pabellon revisados",	 8 files changed, 403 insertions(+), 1330 deletions(-)	
"cdcfc75","ivanfermena","Tue, 17 Apr 2018 19:20:03 +0200","Correcion de problema menos ne showById",	 1 file changed, 7 insertions(+), 7 deletions(-)	
"3cf90d0","ivanfermena","Tue, 17 Apr 2018 19:16:40 +0200","Correctpcion de errores",	 4 files changed, 11 insertions(+), 8 deletions(-)	
"38944a8","MeSeventy","Tue, 17 Apr 2018 18:24:48 +0200","Arreglado Lables de FormAssignation",	 1 file changed, 4 insertions(+), 4 deletions(-)	
"9c3a7be","MeSeventy","Tue, 17 Apr 2018 18:18:30 +0200",".",	 4 files changed, 3 insertions(+), 23 deletions(-)	
"0fb86f6","ivanfermena","Tue, 17 Apr 2018 17:22:45 +0200","cambios en vistas",	 21 files changed, 695 insertions(+), 514 deletions(-)	
"217d3f9","MeSeventy","Tue, 17 Apr 2018 16:44:43 +0200","Agregado operacion de cerrada a viewHalf",	 3 files changed, 3 insertions(+), 1 deletion(-)	
"02305d2","albertopastormr","Tue, 17 Apr 2018 16:38:12 +0200","Implementados ASAsignacion y ASParticipacion",	 16 files changed, 615 insertions(+), 378 deletions(-)	
"551551c","MeSeventy","Tue, 17 Apr 2018 16:36:52 +0200","ViewHalfs refactorizados",	 4 files changed, 19 insertions(+), 35 deletions(-)	
"b0bb53f","MeSeventy","Tue, 17 Apr 2018 16:33:14 +0200","JFrame cambiado por JDialog en Drop",	 2 files changed, 62 insertions(+), 79 deletions(-)	
"a3b5608","MeSeventy","Tue, 17 Apr 2018 16:29:37 +0200","Carpeta resource creeado",	 12 files changed, 397 insertions(+), 282 deletions(-)	
"14d270a","MeSeventy","Tue, 17 Apr 2018 12:34:06 +0200","Formularios refactorizados",	 5 files changed, 120 insertions(+), 178 deletions(-)	
"7dd3fa9","albertopastormr","Mon, 16 Apr 2018 19:26:46 +0200","Agregados mas test en integracion",	 17 files changed, 567 insertions(+), 514 deletions(-)	
"0c94aaa","albertopastormr","Mon, 16 Apr 2018 17:56:13 +0200","corregidos errores en todas las capas: revisad",	 16 files changed, 396 insertions(+), 288 deletions(-)	
"5d82258","gprossignoli","Mon, 16 Apr 2018 12:42:49 +0200","Dudas comentadas sobre ASFERIAIMP",	 1 file changed, 3 insertions(+), 1 deletion(-)	
"d50594b","gprossignoli","Mon, 16 Apr 2018 12:14:25 +0200","Modificados los constructores de Date en ASFeriaImp",	 3 files changed, 55 insertions(+), 49 deletions(-)	
"2114a51","MeSeventy","Sun, 15 Apr 2018 21:41:43 +0200","View GUI actualizados y refactorizados",	 4 files changed, 41 insertions(+), 15 deletions(-)	
"67a495e","MeSeventy","Sun, 15 Apr 2018 21:24:19 +0200","Vistas GUI",	 4 files changed, 837 insertions(+)	
"0dad212","albertopastormr","Sun, 15 Apr 2018 21:14:34 +0200","corregido deleteAll() y agregados test DAOs: Feria, Pabellon y Stand realizados",	 13 files changed, 599 insertions(+), 120 deletions(-)	
"b16446b","albertopastormr","Sun, 15 Apr 2018 20:03:48 +0200","agregados nuevos tests para DAOs",	 13 files changed, 214 insertions(+), 756 deletions(-)	
"f9c7c80","albertopastormr","Sun, 15 Apr 2018 19:39:35 +0200","update Integracion",	 4 files changed, 36 insertions(+), 28 deletions(-)	
"ff6ca52","albertopastormr","Sun, 15 Apr 2018 19:30:06 +0200","corregidos errores menores en Integracion",	 9 files changed, 111 insertions(+), 74 deletions(-)	
"a7bbcaf","Ruben Garcia Mateos","Sun, 15 Apr 2018 17:39:54 +0200","prueba",	 1 file changed, 1 insertion(+)	
"8c148e3","ivanfermena","Sun, 15 Apr 2018 12:21:39 +0200","Pequenio cambio como apoyo a view",	 3 files changed, 7 insertions(+), 1 deletion(-)	
"6517bee","MeSeventy","Sun, 15 Apr 2018 12:06:09 +0200","ListAssignation GUI",	 1 file changed, 23 insertions(+), 1 deletion(-)	
"347d494","ivanfermena","Sun, 15 Apr 2018 11:54:44 +0200","Corregion de problemas y comprobacion de views",	 3 files changed, 31 insertions(+), 19 deletions(-)	
"36228c0","Pablo López Veleiro","Sun, 15 Apr 2018 00:32:33 +0200","Tests ASPabellonImp",	 4 files changed, 177 insertions(+), 3 deletions(-)	
"ee9629a","Ruben Garcia Mateos","Sun, 15 Apr 2018 00:15:42 +0200","Añadido todos los Test negocio Feria",	 1 file changed, 114 insertions(+), 9 deletions(-)	
"2d3f16c","Ruben Garcia Mateos","Sat, 14 Apr 2018 23:39:09 +0200","Añadido tests modify feria:Negocio",	 1 file changed, 60 insertions(+), 6 deletions(-)	
"d6ac5ef","Pablo López Veleiro","Sat, 14 Apr 2018 18:35:13 +0200","Arreglo DAOFeria codigo duplicado",	 1 file changed, 22 deletions(-)	
"bed50b9","Pablo López Veleiro","Sat, 14 Apr 2018 18:27:57 +0200","Creación fichero Test Pabellon",	 1 file changed, 17 insertions(+)	
"9654aed","gprossignoli","Sat, 14 Apr 2018 18:06:36 +0200","Comprobad que no falte nada",	 3 files changed, 86 insertions(+), 23 deletions(-)	
